time,threshold,height2m,share_earth_in_heatwave,scenario,year
2015-12-31,35.0,2.0,0.05405789744422786,5.6,2015
2016-12-31,35.0,2.0,0.05380624593892138,5.6,2016
2017-12-31,35.0,2.0,0.05467125568551007,5.6,2017
2018-12-31,35.0,2.0,0.05602068442711717,5.6,2018
2019-12-31,35.0,2.0,0.05603652263374486,5.6,2019
2020-12-31,35.0,2.0,0.0558170213341997,5.6,2020
2021-12-31,35.0,2.0,0.05597025936755468,5.6,2021
2022-12-31,35.0,2.0,0.05531358295429933,5.6,2022
2023-12-31,35.0,2.0,0.05688887535196014,5.6,2023
2024-12-31,35.0,2.0,0.056946271929824564,5.6,2024
2025-12-31,35.0,2.0,0.059112248213125405,5.6,2025
2026-12-31,35.0,2.0,0.05882269330734243,5.6,2026
2027-12-31,35.0,2.0,0.05966265973575915,5.6,2027
2028-12-31,35.0,2.0,0.06135680636777128,5.6,2028
2029-12-31,35.0,2.0,0.05998964424951266,5.6,2029
2030-12-31,35.0,2.0,0.05917404429283083,5.6,2030
2031-12-31,35.0,2.0,0.060410371994801815,5.6,2031
2032-12-31,35.0,2.0,0.06235129683777344,5.6,2032
2033-12-31,35.0,2.0,0.06183276478232617,5.6,2033
2034-12-31,35.0,2.0,0.06141345841455489,5.6,2034
2035-12-31,35.0,2.0,0.061746263807667325,5.6,2035
2036-12-31,35.0,2.0,0.06337712529781243,5.6,2036
2037-12-31,35.0,2.0,0.06408097790773229,5.6,2037
2038-12-31,35.0,2.0,0.0645804905782976,5.6,2038
2039-12-31,35.0,2.0,0.06366444661035305,5.6,2039
2040-12-31,35.0,2.0,0.06411617392246048,5.6,2040
2041-12-31,35.0,2.0,0.06528793047433398,5.6,2041
2042-12-31,35.0,2.0,0.06579211338531514,5.6,2042
2043-12-31,35.0,2.0,0.06541335011912497,5.6,2043
2044-12-31,35.0,2.0,0.06600064977257959,5.6,2044
2045-12-31,35.0,2.0,0.06698234784492095,5.6,2045
2046-12-31,35.0,2.0,0.0684003411306043,5.6,2046
2047-12-31,35.0,2.0,0.06909959118475202,5.6,2047
2048-12-31,35.0,2.0,0.06875818984188867,5.6,2048
2049-12-31,35.0,2.0,0.06947483484946936,5.6,2049
2050-12-31,35.0,2.0,0.07012230615118042,5.6,2050
2051-12-31,35.0,2.0,0.07028434318821745,5.6,2051
2052-12-31,35.0,2.0,0.07095794076239982,5.6,2052
2053-12-31,35.0,2.0,0.07185009205111545,5.6,2053
2054-12-31,35.0,2.0,0.07165103151397012,5.6,2054
2055-12-31,35.0,2.0,0.07217599361056964,5.6,2055
2056-12-31,35.0,2.0,0.07359750649772578,5.6,2056
2057-12-31,35.0,2.0,0.07377348657136669,5.6,2057
2058-12-31,35.0,2.0,0.07411962583928959,5.6,2058
2059-12-31,35.0,2.0,0.07470482726878926,5.6,2059
2060-12-31,35.0,2.0,0.07555196826943904,5.6,2060
2061-12-31,35.0,2.0,0.0762761262724713,5.6,2061
2062-12-31,35.0,2.0,0.07601784167208143,5.6,2062
2063-12-31,35.0,2.0,0.07656128167641325,5.6,2063
2064-12-31,35.0,2.0,0.07745275611869179,5.6,2064
2065-12-31,35.0,2.0,0.07754792072774529,5.6,2065
2066-12-31,35.0,2.0,0.0782260531730561,5.6,2066
2067-12-31,35.0,2.0,0.0791265296729478,5.6,2067
2068-12-31,35.0,2.0,0.08054066493393978,5.6,2068
2069-12-31,35.0,2.0,0.08046959605804634,5.6,2069
2070-12-31,35.0,2.0,0.08093804147714966,5.6,2070
2071-12-31,35.0,2.0,0.08118874539744424,5.6,2071
2072-12-31,35.0,2.0,0.081939909573316,5.6,2072
2073-12-31,35.0,2.0,0.08267103909465022,5.6,2073
2074-12-31,35.0,2.0,0.0836843458956032,5.6,2074
2075-12-31,35.0,2.0,0.08391555663850986,5.6,2075
2076-12-31,35.0,2.0,0.08433391542126921,5.6,2076
2077-12-31,35.0,2.0,0.08408517435564218,5.6,2077
2078-12-31,35.0,2.0,0.08415664933939787,5.6,2078
2079-12-31,35.0,2.0,0.08502050844704352,5.6,2079
2080-12-31,35.0,2.0,0.08535344920944336,5.6,2080
2081-12-31,35.0,2.0,0.08673421594108728,5.6,2081
2082-12-31,35.0,2.0,0.0869172352176738,5.6,2082
2083-12-31,35.0,2.0,0.0869203487112844,5.6,2083
2084-12-31,35.0,2.0,0.08728462746372102,5.6,2084
2085-12-31,35.0,2.0,0.08871426250812216,5.6,2085
2086-12-31,35.0,2.0,0.08938650638943037,5.6,2086
2087-12-31,35.0,2.0,0.08881132228719947,5.6,2087
2088-12-31,35.0,2.0,0.09007316709984838,5.6,2088
2089-12-31,35.0,2.0,0.09124187784275505,5.6,2089
2090-12-31,35.0,2.0,0.09121060753736192,5.6,2090
2091-12-31,35.0,2.0,0.09079143653887806,5.6,2091
2092-12-31,35.0,2.0,0.0916744504006931,5.6,2092
2093-12-31,35.0,2.0,0.0927889457439896,5.6,2093
2094-12-31,35.0,2.0,0.09275638943036606,5.6,2094
2095-12-31,35.0,2.0,0.09324926900584794,5.6,2095
2096-12-31,35.0,2.0,0.09381930907515702,5.6,2096
2097-12-31,35.0,2.0,0.09460357104180205,5.6,2097
2098-12-31,35.0,2.0,0.09456485542560102,5.6,2098
2099-12-31,35.0,2.0,0.09581702133419968,5.6,2099
2100-12-31,35.0,2.0,0.0968478584578731,5.6,2100
